iter	Passed	Remaining
418	2430	3370
419	2433	3360
420	2435	3349
421	2438	3339
422	2443	3332
423	2445	3322
424	2448	3312
425	2451	3302
426	2453	3292
427	2475	3308
428	2477	3298
429	2480	3288
430	2483	3278
431	2485	3267
432	2489	3259
433	2491	3249
434	2494	3239
435	2496	3229
436	2498	3219
437	2500	3208
438	2505	3201
439	2522	3210
440	2524	3200
441	2526	3189
442	2528	3179
443	2530	3168
444	2532	3158
445	2542	3158
446	2545	3148
447	2547	3138
448	2549	3128
449	2554	3121
450	2557	3112
451	2559	3103
452	2562	3094
453	2564	3084
454	2569	3077
455	2571	3068
456	2573	3058
457	2601	3078
458	2603	3068
459	2605	3058
460	2607	3048
461	2610	3039
462	2612	3030
463	2617	3023
464	2619	3013
465	2621	3003
466	2623	2994
467	2625	2984
468	2627	2974
469	2631	2966
470	2632	2957
471	2634	2947
472	2636	2937
473	2638	2928
474	2640	2918
475	2642	2908
476	2675	2933
477	2679	2926
478	2681	2916
479	2683	2907
480	2685	2897
481	2687	2887
482	2689	2878
483	2690	2868
484	2712	2880
485	2715	2871
486	2717	2862
487	2720	2853
488	2722	2844
489	2755	2868
490	2763	2864
491	2767	2857
492	2776	2855
493	2779	2846
494	2781	2837
495	2785	2830
496	2788	2822
497	2791	2814
498	2794	2805
499	2801	2801
500	2806	2795
501	2808	2786
502	2815	2781
503	2817	2772
504	2823	2768
505	2825	2758
506	2827	2749
507	2829	2740
508	2831	2731
509	2836	2724
510	2838	2715
511	2840	2707
512	2842	2698
513	2867	2711
514	2869	2702
515	2872	2694
516	2874	2685
517	2876	2676
518	2878	2668
519	2880	2659
520	2884	2652
521	2886	2643
522	2888	2634
523	2890	2625
524	2892	2617
525	2894	2608
526	2899	2602
527	2915	2606
528	2918	2598
529	2921	2590
530	2924	2582
531	2926	2574
532	2931	2568
533	2934	2561
534	2937	2553
535	2940	2545
536	2943	2537
537	2948	2532
538	2951	2524
539	2954	2516
540	2956	2508
541	2961	2502
542	2964	2494
543	2967	2487
544	2969	2479
545	2972	2471
546	2977	2465
547	2979	2457
548	2981	2449
549	2984	2441
550	2989	2436
551	2993	2429
552	2995	2421
553	2997	2413
554	2999	2405
555	3001	2397
556	3003	2389
557	3008	2382
558	3010	2374
559	3012	2366
560	3013	2358
561	3015	2350
562	3017	2342
563	3019	2334
564	3023	2327
565	3025	2319
566	3027	2312
567	3029	2304
568	3031	2296
569	3034	2289
570	3039	2283
571	3041	2275
572	3043	2268
573	3046	2260
574	3048	2253
575	3051	2246
576	3066	2247
577	3071	2242
578	3074	2235
579	3082	2232
580	3087	2226
581	3089	2218
582	3091	2211
583	3093	2203
584	3095	2196
585	3097	2188
586	3109	2187
587	3111	2180
588	3113	2172
589	3117	2166
590	3119	2158
591	3121	2151
592	3123	2143
593	3129	2139
594	3136	2134
595	3138	2127
596	3140	2119
597	3142	2112
598	3144	2105
599	3149	2099
600	3151	2092
601	3154	2085
602	3156	2077
603	3178	2083
604	3183	2078
605	3185	2070
606	3187	2063
607	3189	2056
608	3191	2048
609	3193	2041
610	3197	2035
611	3199	2028
612	3201	2020
613	3203	2013
614	3213	2011
615	3215	2004
616	3217	1997
617	3220	1990
618	3222	1983
619	3224	1976
620	3229	1971
621	3231	1964
622	3234	1957
623	3236	1950
624	3238	1943
625	3243	1938
626	3246	1931
627	3251	1925
628	3254	1919
629	3256	1912
630	3258	1905
631	3261	1898
632	3263	1892
633	3282	1895
634	3284	1888
635	3288	1881
636	3290	1875
637	3292	1868
638	3294	1861
639	3296	1854
640	3298	1847
641	3300	1840
642	3304	1834
643	3306	1827
644	3309	1821
645	3311	1814
646	3313	1808
647	3316	1801
648	3322	1796
649	3324	1790
650	3327	1783
651	3329	1777
652	3336	1772
653	3338	1766
654	3341	1759
655	3343	1753
656	3345	1746
657	3351	1741
658	3353	1735
659	3356	1729
660	3367	1727
661	3371	1721
662	3374	1715
663	3377	1709
664	3383	1704
665	3386	1698
666	3388	1691
667	3393	1686
668	3397	1681
669	3400	1674
670	3402	1668
671	3404	1661
672	3413	1658
673	3415	1652
674	3417	1645
675	3419	1639
676	3421	1632
677	3423	1625
678	3425	1619
679	3429	1613
680	3431	1607
681	3432	1600
682	3434	1594
683	3436	1587
684	3438	1581
685	3443	1576
686	3445	1569
687	3447	1563
688	3449	1557
689	3451	1550
690	3453	1544
691	3456	1538
692	3460	1532
693	3462	1526
694	3464	1520
695	3466	1514
696	3470	1508
697	3472	1502
698	3475	1496
699	3481	1491
700	3483	1485
701	3485	1479
702	3493	1475
703	3495	1469
704	3497	1463
705	3499	1457
706	3501	1451
707	3506	1446
708	3509	1440
709	3512	1434
710	3514	1428
711	3521	1424
712	3555	1431
713	3558	1425
714	3560	1419
715	3563	1413
716	3580	1413
717	3584	1407
718	3587	1402
719	3590	1396
720	3592	1390
721	3595	1384
722	3618	1386
723	3620	1380
724	3622	1374
725	3624	1367
726	3626	1361
727	3628	1355
728	3632	1350
729	3634	1344
730	3636	1338
731	3638	1332
732	3640	1325
733	3641	1319
734	3643	1313
735	3646	1307
736	3648	1301
737	3650	1295
738	3655	1291
739	3662	1286
740	3665	1281
741	3668	1275
742	3672	1270
743	3675	1264
744	3677	1258
745	3679	1252
746	3681	1246
747	3683	1240
748	3685	1235
749	3688	1229
750	3691	1223
751	3698	1219
752	3711	1217
753	3713	1211
754	3718	1206
755	3720	1200
756	3722	1194
757	3724	1189
758	3726	1183
759	3729	1177
760	3733	1172
761	3735	1166
762	3738	1161
763	3740	1155
764	3749	1151
765	3752	1146
766	3754	1140
767	3756	1134
768	3759	1129
769	3761	1123
770	3763	1117
771	3765	1112
772	3767	1106
773	3773	1101
774	3775	1096
775	3778	1090
776	3780	1085
777	3783	1079
778	3788	1074
779	3790	1069
780	3793	1063
781	3796	1058
782	3798	1052
783	3803	1047
784	3806	1042
785	3808	1037
786	3811	1031
787	3813	1026
788	3816	1020
789	3820	1015
790	3823	1010
791	3825	1004
792	3827	999
793	3829	993
794	3839	990
795	3841	984
796	3843	979
797	3846	973
798	3858	970
799	3860	965
800	3862	959
801	3866	954
802	3868	949
803	3870	943
804	3873	938
805	3876	932
806	3877	927
807	3881	922
808	3883	916
809	3885	911
810	3887	905
